Type,number
E_SO,2
E_SO_S56,13
E_SO_S56_SGC,11
E_S12,28
E_S12_S34_S56,7
E_S12_S34_S56_SGC,5
E_S12_S56,89
E_S12_S56_SGC,16
E_S12_SGC,7
E_S34,1
E_S34_S56,8
E_S34_S56_SGC,9
E_S34_SGC,18
E_S34_SGC_SAC,8
E_S56,5
E_S56_SGC,31
E_S56_SGC_SAC,7
E_SGC,9
E_SAC,1
E_ns,60
I_SO,9
I_SO_S12,4
I_SO_S12_S56,3
I_SO_S56,23
I_SO_S56_SGC,8
I_S12,32
I_S12_S34_S56_SGC,2
I_S12_S34_SGC,3
I_S12_S56,104
I_S12_S56_SGC,31
I_S12_SGC,8
I_S34,4
I_S34_S56,43
I_S34_S56_SGC,83
I_S34_SGC,31
I_S34_SGC_SAC,4
I_S56,23
I_S56_SGC,86
I_S56_SGC_SAC,16
I_S56_SAC,3
I_SGC,13
I_SGC_SAC,3
I_ns,263
I_SIN,14
